Ts,ActP
1645450003,106
1645450004,3
1645450005,3
1645450006,3
1645450007,3
1645450008,3
1645450009,3
1645450010,3
1645450011,3
1645450012,3
1645450013,3
1645450014,3
1645450015,3
1645450016,146
1645450017,128
1645450018,115
1645450019,118
1645450020,113
1645450021,114
1645450022,111
1645450023,116
1645450024,3
1645450025,3
1645450026,3
1645450027,3
1645450028,3
1645450029,3
1645450030,3
1645450031,3
1645450032,3
1645450033,3
1645450034,3
1645450035,3
1645450036,96
1645450037,114
1645450038,107
1645450039,106
1645450040,110
1645450041,107
1645450042,111
1645450043,79
1645450044,3
1645450045,3
1645450046,3
1645450047,3
1645450048,3
1645450049,3
1645450050,3
1645450051,3
1645450052,3
1645450053,3
1645450054,3
1645450055,3
1645450056,114
1645450057,116
1645450058,112
1645450059,111
1645450060,116
1645450061,115
1645450062,114
1645450063,31
1645450064,3
1645450065,3
1645450066,3
1645450067,3
1645450068,3
1645450069,3
1645450071,3
1645450071,3
1645450072,3
1645450073,3
1645450074,3
1645450075,9
1645450076,122
1645450077,109
1645450078,108
1645450079,107
1645450080,106
1645450081,107
1645450082,108
1645450083,7
1645450084,3
1645450086,3
1645450086,3
1645450088,3
1645450089,3
1645450090,3
1645450090,3
1645450092,3
1645450093,3
1645450094,3
1645450095,3
1645450096,56
1645450097,137
1645450098,116
1645450099,112
1645450100,111
1645450101,113
1645450102,116
1645450103,117
1645450104,4
1645450105,3
1645450106,3
1645450107,3
1645450107,3
1645450108,3
1645450109,3
1645450111,3
1645450111,3
1645450112,3
1645450113,3
1645450114,3
1645450115,3
1645450116,128
1645450117,128
1645450118,107
1645450119,111
1645450120,105
1645450121,107
1645450122,109
1645450123,108
1645450124,3
1645450125,3
1645450126,3
1645450127,3
1645450128,3
1645450129,3
1645450130,3
1645450131,3
1645450132,3
1645450133,3
1645450134,3
1645450135,3
1645450136,146
1645450137,125
1645450139,119
1645450139,112
1645450140,113
1645450141,114
1645450142,108
1645450143,115
1645450144,3
1645450145,3
1645450146,3
1645450147,3
1645450148,3
1645450149,3
1645450150,3
1645450151,3
1645450152,3
1645450153,3
1645450154,3
1645450155,3
1645450156,97
1645450157,111
1645450158,109
1645450159,107
1645450160,112
1645450161,105
1645450162,109
1645450163,80
1645450164,3
1645450165,3
1645450166,3
1645450167,3
1645450168,3
1645450169,3
1645450170,3
1645450171,3
1645450172,3
1645450173,3
1645450174,3
1645450175,3
1645450176,110
1645450177,115
1645450178,115
1645450179,115
1645450180,113
1645450181,111
